,Catégorie,Titre,Score,Avis,5 etoiles,4 etoiles,3 etoiles,2 etoiles,1 etoiles
0,Magasin de vêtements,Maison de MaMoulia,"5,0",1 725,92,6,1,<1,<1
1,Horlogerie,Chrono24,"4,9",12 584,89,7,2,<1,1
2,Magasin de streetwear,Jean Station,"4,9",3 608,87,9,2,<1,1
3,Marché en ligne,Gens de Confiance,"4,9",2 660,90,8,<1,<1,<1
4,Horlogerie,Mondial Montres,"4,9",2 030,96,4,<1,<1,<1
5,Boutique d'accessoires de mode,Les Fleurs Dupont,"4,9",1 299,94,4,1,<1,<1
6,Boutique de souvenirs pour mariages,La Fabrique à Sachets,"4,9",1 123,87,10,2,<1,<1
7,Shopping & mode,Esprit NATO,"4,9",1 039,97,2,<1,<1,<1
8,Horlogerie,Objectif Horlogerie,"4,9",998,91,8,<1,0,0
9,Bijouterie,Chaination,"4,9",929,89,10,<1,<1,<1
10,Bijouterie fantaisie,Illustres Bidules,"4,9",840,96,3,<1,<1,<1
11,Bijouterie,Newperle,"4,9",569,92,8,<1,0,<1
12,Horlogerie,Verhoeven Joaillier,"4,9",552,95,3,<1,<1,<1
13,Magasin de chaussures,PICK A SHOE,"4,9",510,95,4,<1,0,<1
14,Bijouterie,i-diamants.com,"4,9",469,97,3,0,0,<1
15,Bijouterie,MAYANA,"4,9",325,93,6,0,<1,0
16,Bijouterie,Les plumes d'Amazone,"4,9",322,99,1,<1,0,0
17,Magasin de vêtements pour enfants,Le Papa de Jojo,"4,9",274,99,1,<1,0,0
18,Magasin de vêtements de sport (activewear),B Outdoors,"4,9",269,91,7,1,<1,<1
19,Magasin de skateboards,Keputch,"4,9",263,94,5,<1,<1,0
20,Magasin de vêtements pour hommes,1923Autos,"4,9",232,93,6,1,0,0
21,Magasin de chaussures,Clickandrock,"4,9",187,98,1,1,0,0
22,Boutique de mariage,MARIAGE PRECIEUX,"4,9",180,95,4,<1,0,0
23,Fabricant de bijoux,Nemmès,"4,9",161,97,2,0,0,1
24,Bijouterie,ŌKAN STUDIO,"4,9",127,100,0,0,0,0
25,Boutique d'accessoires de mode,Monzémare,"4,9",119,97,2,0,0,<1
