,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
0,Horlogerie,Chrono24,"4,9",12661,89,7,2,<1,1
1,Magasin de streetwear,Jean Station,"4,9",3620,87,9,2,<1,1
2,Magasin de vêtements,Maison de MaMoulia,"4,9",1767,92,6,1,<1,<1
3,Boutique d'accessoires de mode,Les Fleurs Dupont,"4,9",1302,94,4,1,<1,<1
4,Boutique de souvenirs pour mariages,La Fabrique à Sachets,"4,9",1127,87,10,2,<1,<1
5,Horlogerie,Objectif Horlogerie,"4,9",999,91,8,<1,0,0
6,Bijouterie,Chaination,"4,9",989,89,10,<1,<1,<1
7,Bijouterie fantaisie,Illustres Bidules,"4,9",854,96,3,<1,<1,<1
8,Bijouterie,Newperle,"4,9",574,92,8,<1,0,<1
9,Horlogerie,Verhoeven Joaillier,"4,9",559,95,3,<1,<1,<1
10,Magasin de chaussures,PICK A SHOE,"4,9",519,95,4,<1,0,<1
11,Bijouterie,i-diamants.com,"4,9",475,97,3,0,0,<1
12,Bijouterie,Eleonaure,"4,9",428,94,4,<1,<1,1
13,Bijouterie,Les plumes d'Amazone,"4,9",324,99,1,<1,0,0
14,Magasin de vêtements pour enfants,Le Papa de Jojo,"4,9",276,99,1,<1,0,0
15,Magasin de skateboards,Keputch,"4,9",263,94,5,<1,<1,0
16,Magasin de vêtements pour hommes,1923Autos,"4,9",235,93,6,1,0,0
17,Magasin de chaussures,Clickandrock,"4,9",188,98,1,1,0,0
18,Boutique de mariage,MARIAGE PRECIEUX,"4,9",181,95,4,<1,0,0
19,Bijouterie,ŌKAN STUDIO,"4,9",130,100,0,0,0,0
20,Boutique d'accessoires de mode,Monzémare,"4,9",124,97,2,0,0,<1
21,Bijouterie,EMMALEE Jewelry,"4,9",113,93,6,0,<1,0
22,Artisanat,Hypatia 🌿,"4,9",96,99,1,0,0,0
23,Magasin de vêtements pour enfants,A-qui-S.fr,"4,8",135879,85,11,2,<1,<1
24,Boutique d'accessoires de mode,Qwetch,"4,8",34337,89,8,1,<1,<1
25,Magasin de puériculture,Babylux,"4,8",33453,85,10,2,<1,2
26,Boutique de lingerie,Glamuse.com,"4,8",20167,85,11,2,<1,1
27,Horlogerie,Chic Time,"4,8",8019,72,13,4,3,8
28,Magasin d'instruments de musique,Prozic,"4,8",7650,85,10,2,<1,2
29,Magasin de chaussures,Usine23.com,"4,8",7609,81,14,3,1,1
30,Magasin de maroquinerie,Cuirs Guignard,"4,8",7293,85,11,2,<1,<1
