,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
0,Distributeur de boissons,Le Fourgon,"5,0",5305,97,3,<1,<1,<1
1,Caviste,Comptoir des Vignes,NA,NA,92,8,<1,<1,<1
2,Service e-commerce,Nutri Naturel,"4,9",2509,89,9,<1,<1,<1
3,Fabricant de produits alimentaires,Maison Martin - Le Piment Français,"4,9",1262,95,4,<1,0,<1
4,Magasin de thé,Lu Shan - Art du Thé,"4,9",1216,91,6,2,<1,<1
5,Boutique de café,Belleville Brulerie - Paris,"4,9",1172,94,4,1,<1,1
6,Producteur de produits alimentaires,Spiruline des îles d'or,"4,9",853,95,4,<1,<1,<1
7,Service de commande de repas en ligne,Entrepôt Italien,"4,9",752,91,8,<1,<1,<1
8,Caviste,Au-droit-de-bouchon,"4,9",384,91,8,1,0,<1
9,Caviste,VignArtea,"4,9",329,93,6,<1,0,<1
10,Épicerie fine,MONPLANCBD,"4,9",304,96,3,<1,<1,0
11,Entreprise de cosmétique,Olala! French Cosmetics,"4,9",250,93,7,0,0,0
12,Magasin de produits gourmets,Nordic Temptations,"4,9",185,93,5,2,0,0
13,Torréfacteurs,Hayuco Coffee Boutique,"4,9",174,97,1,<1,1,0
14,Magasin de cannabis,Kanamaste CBD,"4,9",150,97,3,0,0,0
15,Pâtisserie,Pâtisserie Peigné,"4,9",140,93,4,2,0,<1
16,Magasin de vins et spiritueux,La Maison Du Clairin,"4,9",116,97,<1,<1,<1,0
17,Distillerie,Distillerie de Rozelieures,"4,9",109,96,4,0,0,0
18,Épicerie,Vanille Naha Sava,"4,9",107,97,2,0,<1,0
19,Magasin de cigarettes électroniques,Oliquide,"4,8",13162,93,5,<1,<1,1
20,Magasin de vins et spiritueux,Rhum Attitude,"4,8",6980,88,9,2,<1,<1
21,Boutique de café,Vert Tiges,"4,8",5605,88,10,1,<1,<1
22,Boutique de figurines,Shin Sekai,"4,8",2395,90,7,1,<1,<1
23,Magasin de vélos,VeloBoutiquePro,"4,8",1922,80,14,3,1,2
24,Boutique de café,Café en grain,"4,8",1856,86,10,2,<1,1
25,Magasin de cigarettes électroniques,VDLV boutique,"4,8",1509,90,7,<1,<1,1
26,Épicerie,Willy anti-gaspi,"4,8",1367,90,8,<1,<1,<1
27,"Aliments, boissons & tabac",Boutique Cannes-fayet,"4,8",1275,89,7,2,1,1
28,Épicerie,Mes Voisins Producteurs,"4,8",1051,84,11,4,1,<1
29,Service de commande de repas en ligne,Les Chocolats du coeur,"4,8",1017,85,13,1,<1,<1
30,Magasin de vins et spiritueux,MonWhisky.fr,"4,8",1009,89,8,2,<1,<1
31,Magasin de vins et spiritueux,Tout Autour du Vin,"4,8",656,81,12,3,<1,3
32,Fabricant de produits alimentaires,comptoirdesflandres.com,"4,8",337,87,9,2,<1,1
33,Fournisseur de machine à café,Expresseau,"4,8",311,85,12,1,2,<1
34,Herboristerie,Greendogs Cbd,"4,8",294,95,3,<1,0,1
35,Cave à vins,Abacchus,"4,8",259,90,8,<1,<1,1
36,Magasin d'épices,Dock des Epices,"4,8",249,90,7,<1,1,1
37,Marché alimentaire,acemartmall.com,"4,8",218,88,7,2,2,<1
38,Boutique de figurines,Manganim,"4,8",218,97,2,<1,<1,<1
39,Magasin de cannabis,Strongcbd,"4,8",216,95,4,0,<1,0
40,Épicerie asiatique,Asie Gourmande,"4,8",202,89,8,2,<1,<1
41,Fabricant de produits alimentaires,VousAvezUnMessage,"4,8",196,90,5,3,<1,1
42,Caviste,1envie1vin,"4,8",195,93,5,1,0,1
43,Magasin d'alimentation naturelle,Luxemorilles & La Passion des Vins,"4,8",182,87,7,3,<1,2
44,Fabricant de produits alimentaires,Le petit zeste,"4,8",168,94,4,2,0,0
45,Caviste,Caves Bossetti,"4,8",130,94,4,<1,0,1
46,Épicerie fine,Quinta Portuguesa,"4,8",109,96,4,0,0,0
47,Magasin bio,GESTEBIO,"4,8",105,93,6,<1,0,0
48,Magasin de cannabis,CBDream,"4,8",94,95,2,0,1,2
49,Vignoble,Domaine GUETH - Vins d'Alsace et Oenotourisme,"4,8",94,97,3,0,0,0
50,Distributeur de café,SARL SAVILEM,"4,8",93,89,9,1,1,0
51,Magasin d'épices,Le Poivre de Kampot par .pepper..field®,"4,8",84,94,4,1,0,1
52,Cave à vins,Cave Pur Jus,"4,8",75,97,3,0,0,0
53,Boutique de santé et beauté,SUPRHEMP©,"4,8",64,97,3,0,0,0
54,Cave à vins,Cavejuste,"4,8",59,95,5,0,0,0
55,Marché alimentaire,Chez Marceline,"4,8",55,95,5,0,0,0
56,Caviste,Ventealapropriete.com,"4,7",33385,72,23,3,<1,<1
57,"Aliments, boissons & tabac",Smoking.fr,"4,7",19168,86,9,2,1,2
58,Magasin de cigarettes électroniques,Ecigplanete,"4,7",8701,86,8,2,1,3
59,Pharmacie,Pharmacie des Drakkars,"4,7",7184,83,9,3,1,4
60,Magasin de cigarettes électroniques,Vapoter,"4,7",4890,81,11,3,1,4
61,Caviste,Site de Vente Directe des Vignerons Indépendants,"4,7",2443,81,13,3,1,2
62,Boutique de figurines,Chibi Akihabara,"4,7",2406,88,7,2,1,2
63,Fabricant de produits alimentaires,Shanty Biscuits,"4,7",1902,84,10,3,2,1
64,Service de fitness et nutrition,Cheef,"4,7",1814,73,21,2,2,2
65,Magasin d'alimentation bio,Fermedubio,"4,7",1676,84,10,3,<1,2
66,Magasin de café,Chacun Son Café,"4,7",1583,73,19,5,1,2
67,Marché aux poissons et fruits de mer,Pêché Maison,"4,7",1543,87,10,2,<1,1
68,Magasin bio,Crazy Cbd,"4,7",1215,84,10,2,1,3
